A,ProductName,InArea,MbaId,ProductSerialNumber,commodity,AnnualConsumption,StartDate,ContractDuration,OrderDate,Status,PriceGuarantee,PriceDate,PriceChange,OrigBaseCosts,OrigKwhCosts,OrigKwhMargin,OrigbaseMargin,CurrentBasePriceNet,CurrentKwhPriceNet,CatalogBasePrice,CatalogKwhPrice,CurrentBaseCost,CurrentKwhCost,CurrentKwhRohmarge,CurrentBaseRohmarge,BaseNewPriceProposed,KwhNewPriceProposed,NewPriceInclude,NewPriceStartdate,CurrentBaseTargetMargin,CurrentKwhTargetMargin
A2,12,False,en-3176021180,ev-iyynq7498,power,1416,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-8414003510,ev-oamsv4406,power,941,2021-02-01,2022-01-31 00:00:00,2021-01-04,active,2022-01-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-1861053757,ev-xexug0065,power,2924,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31685543-1000,31685543,power,1453,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31685543-1000,31685720,gas,35014.70588,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,30317494,80734371,power,1662,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31586272,8001637241,power,3068,2021-02-01,2022-01-31 00:00:00,2021-01-04,active,2022-01-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,30027786,ev-wqrvz7372,power,,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31241879,97970693,gas,49069.6,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-3013002401,ev-tqmgz9254,power,1839,2021-09-01,2022-08-31 00:00:00,2021-01-04,active,2022-08-31 00:00:00,2020-10-01,False,98.84,23.17,0.7,24.0,122.84,23.87,146.49,37.38,129.1,20.283,3.5869999999999997,-6.259999999999991,153.10000000000002,20.98,,,17.39,17.1
